GET http://localhost:4200/core-js/modules/es7.reflect.get-metadata.js name=es7.reflect.get-metadata.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=182 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/modules/es7.reflect.get-own-metadata-keys.js name=es7.reflect.get-own-metadata-keys.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=191 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/modules/es7.reflect.get-own-metadata.js name=es7.reflect.get-own-metadata.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=186 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/modules/es7.reflect.has-metadata.js name=es7.reflect.has-metadata.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=182 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/modules/es7.reflect.has-own-metadata.js name=es7.reflect.has-own-metadata.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=186 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/modules/es7.reflect.metadata.js name=es7.reflect.metadata.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=178 notes=0 sig=0xffdfffff
GET http://localhost:4200/core-js/ name=core-js type=dir linked=yes browsers=4 browser_used=FFOX dup=0 returns_404 code=404 len=147 notes=1 sig=0xb7a8a5d0
GET http://localhost:4200/core-js/es7/ name=es7 type=dir linked=yes browsers=4 browser_used=FFOX dup=1 returns_404 code=404 len=151 notes=1 sig=0x9ce2774a
GET http://localhost:4200/core-js/modules/ name=modules type=dir linked=yes browsers=4 browser_used=FFOX dup=1 returns_404 code=404 len=155 notes=1 sig=0x9ce2774a
GET http://localhost:4200/core-js/ name=core-js type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=147 notes=1 sig=0xb7a8a5d0
GET http://localhost:4200/core-js/es7/ name=es7 type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=151 notes=1 sig=0x9ce2774a
GET http://localhost:4200/core-js/modules/ name=modules type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=155 notes=1 sig=0x9ce2774a
GET http://localhost:4200/css-loader/ name=css-loader type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=150 notes=1 sig=0x3835bd08
GET http://localhost:4200/css-loader/lib/ name=lib type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=154 notes=1 sig=0x43eb4a84
GET http://localhost:4200/css-loader/lib/css-base.js name=css-base.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=165 notes=0 sig=0xffdfffff
GET http://localhost:4200/css-loader/index.js name=index.js type=file linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=158 notes=0 sig=0x20fec251
GET http://localhost:4200/css-loader/index.js?{ name=[blank] type=param linked=maybe browsers=0 browser_used=FAST dup=0 returns_404 code=404 len=158 notes=0 sig=0xffbfffff
GET http://localhost:4200/css-loader/ name=css-loader type=dir linked=yes browsers=4 browser_used=FFOX dup=0 returns_404 code=404 len=150 notes=1 sig=0x3835bd5e
GET http://localhost:4200/css-loader/lib/ name=lib type=dir linked=yes browsers=4 browser_used=FFOX dup=1 returns_404 code=404 len=154 notes=1 sig=0x9ce2774a
GET http://localhost:4200/css-loader/index.js name=index.js type=unknown linked=yes browsers=0 browser_used=FFOX dup=1 returns_404 code=404 len=158 notes=0 sig=0xffdfffff
GET http://localhost:4200/css-loader/ name=css-loader type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=150 notes=1 sig=0x3835bd5e
GET http://localhost:4200/css-loader/lib/ name=lib type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=154 notes=1 sig=0x9ce2774a
GET http://localhost:4200/css-loader/index.js name=index.js type=unknown linked=yes browsers=0 browser_used=PHONE dup=1 returns_404 code=404 len=158 notes=0 sig=0xffdfffff
GET http://localhost:4200/debug/ name=debug type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=145 notes=1 sig=0xdf0f736c
GET http://localhost:4200/debug/src/ name=src type=dir linked=maybe browsers=6 browser_used=FAST dup=0 returns_404 code=404 len=149 notes=1 sig=0xfff8b119
GET http://localhost:4200/debug/src/browser.js name=browser.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=159 notes=0 sig=0xffdfffff
GET http://localhost:4200/debug/src/debug.js name=debug.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=157 notes=0 sig=0xffdfffff
GET http://localhost:4200/debug/ name=debug type=dir linked=yes browsers=4 browser_used=FFOX dup=0 returns_404 code=404 len=145 notes=1 sig=0xdf0f736e
GET http://localhost:4200/debug/src/ name=src type=dir linked=yes browsers=4 browser_used=FFOX dup=1 returns_404 code=404 len=149 notes=1 sig=0x9ce2774a
GET http://localhost:4200/debug/ name=debug type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=145 notes=1 sig=0xdf0f736e
GET http://localhost:4200/debug/src/ name=src type=dir linked=yes browsers=2 browser_used=PHONE dup=1 returns_404 code=404 len=149 notes=1 sig=0x9ce2774a
GET http://localhost:4200/events/ name=events type=dir linked=maybe browsers=6 browser_used=FAST dup=1 returns_404 code=404 len=146 notes=1 sig=0xcf885242
GET http://localhost:4200/events/events.js name=events.js type=unknown linked=maybe browsers=0 browser_used=FAST dup=1 returns_404 code=404 len=155 notes=0 sig=0xffdfffff
